,position,jobdesc,newgrad,junior,senior,url,wage
43,Customer Service Coordinator (Ground Staff),"Handle flight preparations (pre-flight until closing out), work cooperately with internal & external related personnel, handle special request cases, communicate with technical crew and cabin crew, A/C loading, etc.",21000.0,-1,-1,https://adecco.co.th/salary-guide/2019/00003/47#job-des,21000.0
44,Customer Service Executive  (Coordinator / Order Administrator),"Assist Department Manager in customer service functions, including receiving and processing sales orders, delivery tracking and monitoring, communicating and updating customers, preparing job orders, coordinating with operations departments, preparing reports, handling complaints and dealing with related documentation tasks.",19500.0,28500.0,47500.0,https://adecco.co.th/salary-guide/2019/00003/48#job-des,28500.0
45,Customer Service Ground Staff Manager,"Oversee and manage all aspects of the Airline's operations at airports overseas, including customer service, baggage and cargo handling, inflight catering, ground safety and crisis management.",-1,-1,55000.0,https://adecco.co.th/salary-guide/2019/00003/385#job-des,55000.0
46,Customer Service Manager,Manage overall functions in customer service department. Monitor and ensure customer satisfaction. Handle customer complaints and provide solutions to meet customer expectations.,-1,-1,65000.0,https://adecco.co.th/salary-guide/2019/00003/49#job-des,65000.0
47,Medical Product Specialist / Expert,"Provide effective clinical support, consultation and training to decision makers, nursing staff and patients. Seek new account opportunities while maintaining existing client relationships and provide technical support.",16000.0,-1,-1,https://adecco.co.th/salary-guide/2019/00003/270#job-des,16000.0
48,Report Analyst,"Perform complex data analysis in support of ad-hoc and standing management or customer requests. Sometimes perform data entry and data auditing, create data reports and monitor all data for accuracy.",19000.0,30000.0,47500.0,https://adecco.co.th/salary-guide/2019/00003/266#job-des,30000.0
49,Account Manager (Technical),In charge of specific account and/or industry related to each sales team & business functions.,-1,55000.0,-1,https://adecco.co.th/salary-guide/2019/00004/3#job-des,55000.0
50,Application Engineer,"Support sales and marketing staff with technical information in terms of preparing necessary documents, proposals, product specifications, drawings as well as providing technical information to internal staff and customers.",-1,42500.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/14#job-des,42500.0
51,Assistant Sales Manager (Technical),Assist Sales Manager in selling products and managing sales team. Implement and operate sales strategies to achieve targets.,-1,-1,60000.0,https://adecco.co.th/salary-guide/2019/00004/20#job-des,60000.0
52,AVP – Technical,"Assist VP in establishing work schedules, safety standards, quality control procedures and customer service policies related to company's product. Oversee the technical services team's budget and monitor the performance of subordinates through reviews, training and mentoring.",-1,-1,150000.0,https://adecco.co.th/salary-guide/2019/00004/396#job-des,150000.0
53,Business Development Manager / Specialist (Technical),"Responsible for market and technology research, strategy setting, and distribution channel analysis and development. In charge of new service development planning and management.",-1,-1,120000.0,https://adecco.co.th/salary-guide/2019/00004/24#job-des,120000.0
54,Construction Engineer,"Utilize extensive experience in project management, design and construction management of building construction and civil work.",21500.0,42500.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/36#job-des,42500.0
55,Construction Manager,"Responsible for overall Construction project work. Manage and monitor construction's costs, quality and timeline.",-1,-1,150000.0,https://adecco.co.th/salary-guide/2019/00004/37#job-des,150000.0
56,Design Engineer,In charge of product design and engineering specifications of customers and suppliers.  Handle all engineering issues and be responsible for new product design.,-1,37500.0,87500.0,https://adecco.co.th/salary-guide/2019/00004/54#job-des,37500.0
57,Director / General Manager (Technical),"In charge of overall management in terms of company’s business growth, sales management, operations and all support functions.",-1,-1,200000.0,https://adecco.co.th/salary-guide/2019/00004/75#job-des,200000.0
58,Draftsman,"In charge of computer-generated drawings, in 2 & 3 dimensions, for engineering, construction and products design. ",16500.0,26500.0,45000.0,https://adecco.co.th/salary-guide/2019/00004/56#job-des,26500.0
59,Electrical Engineer,Plan a preventive maintenance plan for electrial machinery and equipment. Monitor electrical power supply system. Analyze and solve any problem in case of machine breakdowns.,21500.0,40000.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/252#job-des,40000.0
60,Engineer,Initiate and modify process flow to maximize process capability. Solve any quality related problems as well as maintain quality system under quality policy and organizational objectives.,21500.0,42500.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/286#job-des,42500.0
61,Engineer (Mechanical / Chemical / QA / AC),Initiate and modify process flow to maximize process capability. Solve quality related challenges and maintain quality systems and organizational objectives.,21500.0,32500.0,45000.0,https://adecco.co.th/salary-guide/2019/00004/58#job-des,32500.0
62,Engineering / IE / Process Improvement Manager,"Manage, control and supervise team to achieve company goals. Modify, create and improve production capabilities. Organize, analyze and perform professional engineering work.",21500.0,40000.0,87500.0,https://adecco.co.th/salary-guide/2019/00004/59#job-des,40000.0
63,Engineering Manager,"Manage, control and supervise team to achieve company goals. Modify, create and improve production capabilities. Organize, analyze and perform professional engineering work in the line.",-1,-1,215000.0,https://adecco.co.th/salary-guide/2019/00004/287#job-des,215000.0
64,Environmental Engineer,Prepare environmental risk assessment. Control and monitor water treatment systems and other related areas. Be a coordinator or auditor in Environmental Management System.,21500.0,40000.0,67500.0,https://adecco.co.th/salary-guide/2019/00004/253#job-des,40000.0
65,Estimation Engineer,"Use analytical skills to review corporate projects and help senior management in making operating decisions, both in short and long terms. Ensure that project costs stay within the set budget.",-1,35000.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/288#job-des,35000.0
66,Facility Engineer,"Oversee operation of all maintenance works for office building, test building, and other facility systems in the company, such as electrical system, air conditioning and ventilation system (Plumbing system, Sanitary system, Cooling water system, Chilled water system).",21500.0,42500.0,90000.0,https://adecco.co.th/salary-guide/2019/00004/67#job-des,42500.0
67,Factory Manager,"Manage, monitor and supervise production team to achieve the set goals. Work coordinately with other departments to support the production process.",-1,-1,150000.0,https://adecco.co.th/salary-guide/2019/00004/290#job-des,150000.0
68,Injection Engineer,"Operate and maintain injection mold machines, material dryers, and conveying equipment, including prototype runs. Develop programs for various manufacturing equipment, including injection molding machines, robots, vacuum dryers, and temperature controllers under engineering guidance. Monitor and ensure material inventory accuracy and perform material handling. Follow and improve manufacturing processes.",-1,26500.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/397#job-des,26500.0
69,IT Security Analyst / Engineer,"In charge of Information Security Management function. Responsible for design, implementation, operation and maintenance of the Information Security Management System. Perform a suitable information security awareness and security risk assessment. Get involved in compliance monitoring and improvement activities to ensure compliance with internal security policies.",-1,50000,-1,https://adecco.co.th/salary-guide/2019/00004/244#job-des,50000
70,Logistic / Supply Chain & Warehouse Manager (Manufacturing),Manage and control inventory to ensure production continuity and materials do not run out of stock. Inspect material received and report any issue.  In charge of inventory control of all warehouse stock and verify all document related to warehouse stock system.,-1,-1,60000.0,https://adecco.co.th/salary-guide/2019/00004/299#job-des,60000.0
71,Logistic Engineer / Supervisor,"Operate Logistics, Supply Chain and Warehouse systems to effectively support manufacturing process.",-1,-1,45000.0,https://adecco.co.th/salary-guide/2019/00004/102#job-des,45000.0
72,Maintenance Chief / Manager,Oversee installation and maintenance of machines and facility systems. Supervise engineers and technicians in all aspect of their jobs. Plan and implement Preventive Maintenance program.,-1,-1,150000.0,https://adecco.co.th/salary-guide/2019/00004/103#job-des,150000.0
73,Maintenance Engineer,"Support and maintain the good condition of factory utility, facility systems and machines, also perform activities as planned by Plant Manager. ",-1,35000.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/104#job-des,35000.0
74,Material Engineer,"Optimize the administration of materials and finished products by coordinating activities, such as materials planning & supply, inventory control, and logistics, to achieve the organizational strategic objectives.",-1,40000.0,80000.0,https://adecco.co.th/salary-guide/2019/00004/112#job-des,40000.0
75,Mechanical Engineer,Plan the preventive maintenance program for machines and equipment. Monitor electrical power supply system. Analyze and solve machine breakdown problems.,21500.0,40000.0,75000.0,https://adecco.co.th/salary-guide/2019/00004/113#job-des,40000.0
76,Operations Director / VP,Set and deploy policy/strategy for operations. Manage and supervise overall operations to achieve company’s objectives. Coordinate with other departments in any related areas.,-1,-1,215000.0,https://adecco.co.th/salary-guide/2019/00004/122#job-des,215000.0
77,Operations Manager,Manage and supervise operations team to achieve company’s objectives. Manage projects to improve or expand project to increase process capability and efficiency. Coordinate with other functions in any related activities.,-1,-1,175000.0,https://adecco.co.th/salary-guide/2019/00004/255#job-des,175000.0
78,Pipeline Engineer,"Prepare and check for pipeline deliverables related documentation, such as Reports, Material Take-Offs (MTO), Calculations, Specifications and Drawings.",27500.0,37500.0,52500.0,https://adecco.co.th/salary-guide/2019/00004/125#job-des,37500.0
79,Piping Engineer,"Provide engineering support at site on piping, mechanical fabrication and installation.",21500.0,50000.0,80000.0,https://adecco.co.th/salary-guide/2019/00004/126#job-des,50000.0
80,Plant Manager,"Responsible for all aspects in manufacturing area, including production, safety, quality, cost management, supply chain, and customer service.",-1,-1,160000.0,https://adecco.co.th/salary-guide/2019/00004/305#job-des,160000.0
81,Process Engineer,"Provide technical support to operations, develop & design process and review assigned units' operating conditions and data with recommendations resulting in maximizing their operating efficiency.",21500.0,45000.0,65000.0,https://adecco.co.th/salary-guide/2019/00004/129#job-des,45000.0
82,Process Improvement Engineer,Analyze company's processes to determine how these processes can be done efficiently and effectively and with cost effectiveness. ,21500.0,50000.0,70000.0,https://adecco.co.th/salary-guide/2019/00004/306#job-des,50000.0
83,Product Development Manager,Initiate new product and analyze data / statistics.,-1,-1,90000.0,https://adecco.co.th/salary-guide/2019/00004/131#job-des,90000.0
84,Product Executive / Manager (Technical Sales & Marketing),"Responsible for planning, strategic marketing, implementation of activities and budget allocation for products.",-1,50000.0,80000.0,https://adecco.co.th/salary-guide/2019/00004/132#job-des,50000.0
85,Production Engineer,"Plan and control overall production process to ensure customer’s standards, i.e. quality, cost and delivery, are met.",21500.0,42500.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/133#job-des,42500.0
86,Production Manager,Plan and monitor daily production volumes based on cycle times and availability.  Control production and process to ensure customer needs are met.,-1,-1,105000.0,https://adecco.co.th/salary-guide/2019/00004/134#job-des,105000.0
87,Production Planner,"In charge of production planning, scheduling and material control. Ensure the availability of materials to meet production processing plans.",21500.0,37500.0,72500.0,https://adecco.co.th/salary-guide/2019/00004/274#job-des,37500.0
88,Project / Construction Engineer,"Responsible for overall project management related to construction. In charge of projects’ costs, quality and schedule.",21500.0,37500.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/313#job-des,37500.0
89,Project / Construction Manager,"Manage team and be responsible for overall project management related to construction. In charge of projects’ costs, quality and schedule.",-1,-1,160000.0,https://adecco.co.th/salary-guide/2019/00004/314#job-des,160000.0
90,Project Coordinator (Technical),"Coordinate activities and resources utilization in support of technical projects that impact multiple departments, systems, or work-flows with moderate to high risk and complexity or multiple projects simultaneously with lesser risk and complexity.",21500.0,42500.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/310#job-des,42500.0
91,Project Engineer,"Responsible for overall project management. In charge of projects' costs, quality and schedule.",21500.0,42500.0,85000.0,https://adecco.co.th/salary-guide/2019/00004/138#job-des,42500.0
92,Project Engineer - Manufacturing,"Plan, direct and coordinate the manufacturing processs. Find the most cost-effective ways in making products and determine the root causes of failures in a product.",21500.0,32500.0,57500.0,https://adecco.co.th/salary-guide/2019/00004/311#job-des,32500.0
93,Project Manager,"Oversee projects and in charge of budgets controlling, work plans and all project management procedures.",-1,-1,115000.0,https://adecco.co.th/salary-guide/2019/00004/139#job-des,115000.0
94,Project Manager – Manufacturing,"Manage manufacturing engineers, schedules and budgets related to the design, integration and maintenance of manufacturing equipment and systems. This includes approving and overseeing the design and implementation process, as well as ensuring work is completed in the required time frame and budget requirements. Also, ensure that the equipment and systems adhere to safety requirements, as well as local, state and federal industry regulations.",-1,-1,85000.0,https://adecco.co.th/salary-guide/2019/00004/312#job-des,85000.0
95,Purchasing / Buyer / Procurement Engineer,"Source and create suppliers list with competitive price, quality, service and delivery dependability. Manage procurement of raw materials to be in line with production process.",21500.0,35000.0,52500.0,https://adecco.co.th/salary-guide/2019/00004/142#job-des,35000.0
96,Purchasing Manager (Engineer),Manage and lead the integrated purchasing strategies and process in order to add value to the operations.,-1,-1,90000.0,https://adecco.co.th/salary-guide/2019/00004/315#job-des,90000.0
97,QA / QC Engineer,Solve quality related problems and maintain quality system toward quality policy and organization’s objective.,21500.0,35000.0,62500.0,https://adecco.co.th/salary-guide/2019/00004/151#job-des,35000.0
98,Quality Manager,"Manage, implement and maintain factory's quality management system.",-1,-1,110000.0,https://adecco.co.th/salary-guide/2019/00004/153#job-des,110000.0
99,Research & Development Engineer,"Conduct research and develop new products or improve existing products.  Perform information gathering, analysis, experiment, trail, and test runs.",21500.0,40000.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/318#job-des,40000.0
100,Research & Development Manager,"Manage and supervise team to conduct research and develop new products or improve existing products.  Oversee information gathering, analysis, experiment, trail, and test runs.",-1,-1,125000.0,https://adecco.co.th/salary-guide/2019/00004/231#job-des,125000.0
101,Research & Development Officer,"Conduct research and develop new products or improve existing products.  Perform information gathering, analysis, experiment, trail, and test runs.",20000.0,30000.0,62500.0,https://adecco.co.th/salary-guide/2019/00004/230#job-des,30000.0
102,Safety Engineer / Officer,Monitor and control work environment and in charge of safety activities. Consider and provide permission on working methodology to other departments.,21500.0,40000.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/319#job-des,40000.0
103,Safety Manager,Responsible for all EHS activities at strategic level. Facilitate compliance with EHS Management Systems.,-1,-1,125000.0,https://adecco.co.th/salary-guide/2019/00004/161#job-des,125000.0
104,Sales & Marketing Manager (Technical),"Train and supervise sales staff as well as establish territories and goals for sales teams. Review the market, help them to determine customer needs, sales volume potential and pricing schedules that will help them acheive company set goals.",-1,-1,85000.0,https://adecco.co.th/salary-guide/2019/00004/347#job-des,85000.0
105,Sales Administrator/ Sales Support (Technical),"Perform sales administrative & customer service duties.  Liaise with production, documentation and related departments.   Provide sales support to Marketing department.",21500.0,40000.0,-1,https://adecco.co.th/salary-guide/2019/00004/321#job-des,40000.0
106,Sales Engineer,Demonstrate usefulness of products or services to customers. Seek new customers and maintain good relationships with existing customers.,24000.0,42500.0,62500.0,https://adecco.co.th/salary-guide/2019/00004/170#job-des,42500.0
107,Sales Executive / Officer (Technical),Sell technical products and services to boost profitability and increase market share. Provide support to increase products understanding.,21500.0,50000.0,67500.0,https://adecco.co.th/salary-guide/2019/00004/380#job-des,50000.0
108,Sales Manager (Technical),"Achieve sales over target. Responsible for product selling.  Implement field force strategic planner, targets and schemes for incentive setting and Business environment training.  Work coordinately with marketing team to implement the marketing program.",-1,-1,125000.0,https://adecco.co.th/salary-guide/2019/00004/323#job-des,125000.0
109,Senior Mechanical Engineer,"Prepare general specifications, equipment data sheet, drawings, piping specification and technical bid.",-1,42500.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/188#job-des,42500.0
110,Senior Process Engineer,Supervise team and modify process flow.  Increase productivity by using I.E. techniques.,-1,45000.0,75000.0,https://adecco.co.th/salary-guide/2019/00004/191#job-des,45000.0
111,Senior Project Engineer,"In charge of overall project management. Oversee projects' costs, quality and schedule.",-1,-1,60000.0,https://adecco.co.th/salary-guide/2019/00004/195#job-des,60000.0
112,Senior Purchasing Engineer,Source both of local & overseas suppliers of automotive parts and materials for production and exporting. Undertake cost reduction and in charge of price negotiation.,-1,60000.0,85000.0,https://adecco.co.th/salary-guide/2019/00004/198#job-des,60000.0
113,Senior Sales Engineer,"Establish and sell products to new accounts within assigned markets/territory.  Prepare and review proposals, tenders, quotations to prospective customers.  Negotiate with customers within the specified guidelines.",-1,-1,67500.0,https://adecco.co.th/salary-guide/2019/00004/200#job-des,67500.0
114,Senior Structural Engineer,"Prepare and check for Structural deliverables including; reports, Material Take-Offs (MTO), calculations, specifications, drawings and weight control.",-1,42500.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/203#job-des,42500.0
115,Senior Supplier Quality Engineer,Perform  quality control of raw materials provided by internal and external suppliers.  Develop and control quality of suppliers.,-1,42500.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/204#job-des,42500.0
116,Service Engineer / Technical Support,"Install, troubleshoot, and maintain products/equipment. Train employees, identify, analyze, and repair product failures, order and replace parts as needed. Determine and recommend which products or services best fit customers needs.",21500.0,37500.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/206#job-des,37500.0
117,Service Manager,Manage overall functions in the customer service department. Monitor and ensure customer satisfaction. Handle customer complaints and provide solutions to meet customer expectations.,-1,-1,115000.0,https://adecco.co.th/salary-guide/2019/00004/348#job-des,115000.0
118,Sound Engineer,"Operate recording and amplification machines and equipment. Synchronize and equalize prerecorded dialogue, music, and sound effects with visual action of motion pictures or television productions, using control consoles.",21500.0,32500.0,42500.0,https://adecco.co.th/salary-guide/2019/00004/264#job-des,32500.0
119,Structural Engineer,"Prepare and check for Structural deliverables including; reports, Material Take-Offs (MTO), calculations, specifications, drawings and weight control.",21500.0,40000.0,60000.0,https://adecco.co.th/salary-guide/2019/00004/212#job-des,40000.0
120,Supplier Development Engineer,"Handle supplier development and sourcing functions, including reviewing current/potential supplier's capability on technology. Analyze suppliers' process and materials usage. Negotiate with suppliers to get a competitive quotation.",25000.0,37500.0,62500.0,https://adecco.co.th/salary-guide/2019/00004/213#job-des,37500.0
