idx,pos_en,jd_en
22,graphic Design,- Experience in work boots. (Or work experience ever designed for it) - the graphics. (Foothills of the beautiful) - Applications must be 2D (not on the program 3D) - ready to learn new things is always - an experienced designer shoes is a must.
23,Graphic Designer,"Be creative and responsible. Graphic design, marketing and publishing company contact details on the various publications. The company can do graphics. Video events Advocates for the duties assigned to work well under pressure."
24,Intellectual Property Lawyer (English speaking),"• consultancy intellectual property laws. In particular, the protection of brand creative and innovative types of intellectual property. Including representation or prosecution witnesses. Litigation, intellectual property And other legislation related • Intellectual Property Law Consulting, especially with regards to the protection of creative works, brands, and innovation with intellectual properties, including acting as a litigation attorney or expert witness for IP and related areas of law. • the word. Consulting and promote the development of innovation / intellectual property. And innovation / intellectual property for use in commercial as well as technology transfer. The permission to use the trademark / copyright. The business incubator Creating a franchise The valuation of intellectual property, etc. • Innovation Development Consulting, especially with regards to the commercialization and promotion of innovation and intellectual properties, including technology transfer, copyright and trademark licensing, start-up incubation, franchising, and intellectual property valuation. • operation. trademark, patent or copyright associated with document management • Acting as trademark, patent, and / or Copyright agents for handling filing and registration tasks. • resume negotiations. And preparation of contract documents or agreements to be. Thailand and the United Kingdom, such as the treatment of confidential data. Transfer of rights Agency agreement entered into a joint venture agreement for joint research and development, etc., and give an opinion on the legal conditions of business contracts and agreements • Negotiation and Deal-making, as well as preparing agreements, documentations, and term sheets in Thai and English. , such as non-disclosure agreements, rights transfer agreements, shareholders' agreements, R & D agreements, etc."
25,Field Service Engineer / Civil Engineer,"• Ability to read construction • Knowledge of building materials. Control of the material of the contractor. According to the details given in the work environment • Control with safety standards • supervise the construction according to the plan. As well as coordinating with relevant agencies to solve various tasks • Check page. And prepare a report on the progress of the work plan, construction assignment • tracks the performance of the contractor. To the standards and procedures is required."
26,IT Support,"• Study and understand the operation of the organization •. Installation of computer programs, peripheral devices for users. Assigned• The basic instructions. So users You can use computers in their daily work •. Fix problems with computer software, computer peripherals •. Analyze problems with applications, answer questions or give advice on problems with the system within the company •. Detailed records of work assignments, or to make corrections in a day. The recordable or defined •. Data collection In order to do a detailed record of the device. • PC program Monitor and control the use of computers that have been designated as a Conformity •. Track issues What happens to the active user. In order to improve the organizational capacity and the needs of users effectively •. And track technology to be applied in practice •. Working in IT projects of the company. And coordinate relevant departments •. Responsible for various tasks The supervisors assigned to"
27,Developer,"• Study and understand the operation of the organization • Work with the team - keep the needs of users, design and development of systems - monitoring, diagnosing and resolving problems •. Responsible for various tasks assigned to supervisors."
28,Programmer,1. Develop / no edit / update the system software Temple 2. Develop a database connection 3. Researching effectively were designed according to the assigned 4. Administrators SAP 5. See the website of the organization.
29,Purchasing overseas Chinese - English.,- imported equipment from abroad - the procurement of domestic and foreign - according to the procurement policy - Control Supplier- Purchase prices and cost assessment.
30,Administrative Coordinator,"Position Assistant Coordinator responsible for coordinating sales, customer contact and care delivery to provide information and coordinate with relevant agencies dealing with the production and coordination for technical compliance. customers who want to take care of order and coordinate with manufacturers to coordinate the shipment from the manufacturer's responsibility. These orders with manufacturers monitor stock inventory provides information on various assignments."
31,Marketing & Sales Engineer (BKK),1. Serves customers by selling products; X-Ray (Canon) in BKK area2. Drive to achieve annual revenue target3. Planning and scheduling of work for the team.4. Understanding and reporting competitors activities. 5. Building customers and clients’ relationships.
32,SEO Specialist & Digital Marketing,"The site makes And the company's market Caught in the Ranging SEO promotion online marketing channels, including Facebook LINE @ and Website, such as Google Adword to advertise on Facebook, as well as the technical support, online marketing, such as the Facebook Pixel doing. Retargeting to Look a like advertising group to interact with the online channel, etc. to prepare the Report of interesting statistics and the statistics for the Ontario market. Michael Mann, such as finding a record for an item to download the Big Database is updated trend in online marketing. The technique How to use online marketing tools."
33,Head of Marketing,"- Prepare media sales (Sales Kit) and coordinate the delivery of various media sales. The salesman - gathering the information necessary and essential for the sale, such as news, education, policy, education, product information, etc., and provide information to salespeople to use it as a quick - preparing reports. forms and documents Related sales - Responsible for the communication between the company and the sales staff - joint design and development, training sales staff. Coordination training Training and Assessment"
34,"Manager, marketing analysis and planning.",- Data Communications Products The sale of goods To offer to the sales team - sales plan together with the sales team - development process. International sales team to other teams in the company - reporting sales and market share - Sales Analysis Report. The analysis was conducted sales strategy - offering various programs and projects. To support sales
35,Marketing - Customer Relations (New Grads),- Co-ordinate with client in terms of Marketing Activities.- Customer database- Make Good relation with Customer- Handle for company seasonal gifts- Marketing task assigned be supervisor
36,ORANGES,- Programming CAM - Other duties as assigned.
37,Safety. Professional Project,- Plan for Safety and Health for site work - monitor and control safety at work of employees on the job site - or recommended training content security for employees on job sites - other work-related use. knowledge of Safety. profession.
38,Online Marketing,- care in the field of online advertising - To form a strategy to enhance the progress of the website and sympathizers network - monitoring flows across the world to be applied to the performance - Updated information on Media Associates. Russian media And order in
39,"Procurement Engineer (Supervisor, Manager) / 1 Position","1. Procurement Contract for Professional Services and Project Turn-key construction of a related power plant and related equipment 2. Procurement. Tools and equipment in connection with the power plant and related businesses as well as domestic and international 3. procurement tool. Office supplies and other goods or services. 4. As has been bought out the terms of the prices and terms of sale / service. As well as the selection of suppliers / contractors (Sourcing and Recommendation) 5. Assess supplier. The contractor (Supplier Assessment and Evaluation) 6., Delivery and tracking as well as the purchase 7. improve. And maintains a database of the ordering system. Including a list of vendors 8. Management Contract. Contract whole range of goods and services (Contract Management) 9. Prepare assess and analyze procurement weekly. and monthly Presented to the Executive (Reporting)."
40,Accounting Manager,"Details - Review the inventory data, inventory costs and the costs involved. - Collect data management and data analysis for presentation to management - Control. Planning, monitoring and accounting costs - Report inventories period. Quarterly and annual To executives and other relevant information. With updates that have been approved by the executive - offer an approach to cost management. And closing"
42,accountant,"- administer - of the company - to check the authenticity of the document in the sales documents such as purchase orders. Invoices - accounting, inventories, accounts receivable, accounts ******* sales office worker. Phayathai ********"
43,Human Resources Manager,"1. Supervise administrative personnel. Including strategic human resource management 2. Training and development, performance appraisal of personnel 3. Manpower planning Control recruiting manpower to meet production plans 4. monitor and manage the payment of wages in accordance with the Company's five. Improve information management systems HR6. Contact government agencies. Social Security Office Department of Labour Protection and Welfare Or other related line 7. Guidelines Admin tidy 8. Duties as assigned by management."
44,Electrical Engineer,1. Conducting electrical and instrumentation maintenance treatment. Development and technology in the production process 2. Repair and maintenance of customized machines in the production process as it has been effectively 3. Writing reports and report to superiors daily operations 4. Do 5S / TPM monitoring machines daily assignments and write a review 5. Maintenance Tool Equipment to be used and not the loss of six. Other duties as assigned.
45,Accounting Officer (Phuket Branch).,Inventory purchase accounting - expense accounts and general accounts.
46,Accounting Costing Officer,- a report on the stock. Cost of inventory and inspection data.
47,Accounting Officer,Inventory purchase accounting - expense accounts and general accounts.
48,Programmer,- Programming on Andrew's computer and Web-based.
49,Business Analytics,- report from Business Intelligence.
50,Trade Marketing,- care information for sales and promotions. Working with the marketing department and marketing department.
51,Operations Officer (Contract),• data input • Liaise with various departments. • Management of the relevant paperwork Party • Other administrative tasks as assigned • Operation: Monday - Friday 8:30 to 17:30 pm.
52,Officials credit the customers.,Check out the analysis of auto loan customers to adhere to the policy of monitoring data. Points to consider and analyze customer information to credit approval. The report presents the results of the analysis. Follow these steps to perform the proposed loan approved under the authority of the Company.
53,Solution Consultant for >>support Vision Sensor<< Sukhumvit 101 @True Digital Park,Job ScopesDevelopment & Implementation of vision system in Solution team.Set up vision system for sample testing and demo kit follow to customer requirement.Visit customers about vision projects.Get requirement from customer and receive part for testing.Provide the best solution of vision system by sample testing.Execution of the sales workflow and to discover the opportunities and markets for IOT and smart factory solutions.Coordination of analysis vision products in Thai market with Product leader team.Team will training all FA product for sales support.Team will sharing knowledge to all.Team will make project challenge every years for improved skill.Team will cooperate and support all project.
54,Sales Executive Seafreight / Airfreight,-Organising sales visits.-Establishing new business.-Maintaining accurate records.-Taking care of company’s customer-Reach company’s target
55,Production Supervisor (3 positions),"production planning Machining Manpower and raw materials Production estimates are prepared and coordinated with other agencies. Any production schedule Control and monitor production processes, production control, quality standards, according to defense analysts resolve problems in production, directed subordinate supervisory responsibilities."
56,Safety Officer,"- Responsible for the administration, security - prevention, care, accident control - perform legal security."
57,Sales Senior Staff (Domestic&Overseas),"•Receive Sales Order and collaborate with factory to delivery product on time •Conclude Sales Monthly and input data of estimated Sales.•Coordinate customer when order or delivery plan has changed.•Prepare documents of Product Information, Sales and Customer History•Visit and get feedback from customer•Market Survey•Make and Prepare Documents such as Sample Request, Presentation, Quotation, ISO Documents etc.Interested applicants are invited to applying person or send full resume indicating qualifications and experience, transcript, expected salary and recent photo and e-mail to;Kanokwan Hangsanet : hkanokwan@delmar.co.thRamida Likhitboonyarat : ramida@delmar.co.thThai Delmar Co., Ltd.Sales Office ; 43 Thai CC Tower, 7th Floor, Room 77, South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 Tel : 02-675-9705-7 Website : http://www.delmar.co.th"
59,Senior Legal Counsel,"• To provide legal services in general to Glow Group as assigned or requested i.e. provide legal opinion on various legal fields relevant to Glow Group’s business, draft and/or review all kind of contracts relating to Glow Group’s business• To give appropriate legal advice, in respond to problem, on various fields in relevant to Glow Group’s business and handle any disputes and litigations in respect of Glow Group’s business.• To draft and review business agreements and any amendments in relevant to Glow Group’s business.• To participate in negotiation in some transaction as requested and provide legal opinion and/or suggestion to related party where appropriate as well as providing any other supports in compliance with the agreement referred above.• To notify the related division of any new laws and/or regulations (if any) which Glow Group has to comply with or the new laws and/or regulation that shall affect or may affect Glow Group operation.• To review and check all relevant binding documents to ensure correctness of all data related to the matter."
60,"Electrical Supervisor (Based in Maptaphut, Rayong)","The position is responsible for Supervising the Electrical technician activities related to the power and utilities generating facility, Electrical disciplines. The position supports all Maintenance Management programs and strategies related to his trade. This position must have high skill and experience on both hand on technical skill and people management skill.  He has to supervise his direct report team and their out sources sub-contractor.  To make sure the job completes within required time frame, required quality and required safety aspect.  He is responsible to establish Maintenance management program for Electrical equipment, to maintain Electrical Equipment for highest reliability operations."
61,R&D Assistant Manager (Seasoning Products - Dry) | 80-100K,"Business Type: Manufacturing for Food product ( Functional Ingredients * Food & Beverage )Working Hour: Mon - Fri (8.30 - 5.30 pm)Job Description:Overview:Be responsible for the development of seasonings for dry foods by co-working with the Thai RD&A team.Work with customers to develop/renovate concepts for new and current products to make innovative product for each customer (tastes, nutrition etc)Collaborates with a global network of chefs, marketing and sensory experts to deliver products to market within launch timescalesDetails:Conduct research over the current products to analyze what can be improved Based on analysis made, develop the new products including outlining the procedure, specification and ingredients, and ensure they are aligned with the objective of the customers be in charge of product development process from initiation phase until product launch in the marketLiaise with the other internal stakeholders (ie. process engineers, flavor experts, sales team, marketing, end user market team) and external stakeholders (ie. Suppliers, manufacturing, customes, packaging vendors) to manage the project and resolve any issues occured along the wayKeep developing the knowledge in the field for assigned food categories to be a solution partner for the other stakeholdersResponsible to facilitate and lead the experiments with appropriate documents and procedures, so that it can be properly transferred to manufactuingParticipate in trade shows, conferences, scientific meetings or short courses to make presentations for customers, or students or suppliers."
62,Senior Sales Engineer | Rama III Area | Manufacturer and distributor,"Job descriptions: Grow the territory in revenue and market share and achieve territory Sales targets.Develop a Sales plan that effectively and efficiently covers all accounts within the assigned territory.Manage existing customer accounts and enhance customer satisfaction.Develop and close additional Sales opportunities in our existing customer base.Prospect for new opportunities and generate new customer relationships within the assigned territory.Operate prudently and within the expense guidelines.Key Competencies: Strong operational knowledge of the Company’s products and services offered.Experienced level of selling, sales forecast and negotiation skills.Strong understanding of the market and competitors.Experienced level of customer relationship management skills.Ability to anticipate needs, sell and build customer base.Ability to look for data and understand the importance of metrics to drive the business.Experienced in lead and funnel management.Strong communication, analytical, critical thinking and problem-solving skills.Sales driven, results oriented and a team player."
63,Shipping & Delivery Officer | Food Processing Business | BTS Ekamai | Knowledge of SAP,"Client business: Our client is Food processing machineries and materials is currently looking for a qualified candidate as a below information.Nationality: Switzerland CompanyLocation: BTS EkamaiSalary Range: Up to 50,000 | Bonus | Annual leave | Social SecurityJob descriptions:Prepare shipping documents: packing lists, bill of lading, airway bills and shipping labels.Maintain daily shipping log to ensure all requested orders are shipped based on the scheduled date.Inputs all shipping charges and tracking numbers timely (the next morning), for tractability purposes and records accuracy.Determines method of shipment, utilizing knowledge of shipping procedures, routes and rates.Perform quality checks on the Logistic Service (transporters)Runs daily transaction reports to ensure all daily transactions are posted correctly.Fulfil all promises and commitments to the Client by accurately planning and securing stock Manufacturing- and procured Items.Ensure communication with Quotation Engineers, Order Processing Staff, Warehouse Staff, Finance Staff, Shipping and Freight Forwarding agents, other SAS and customers for completion of customs clearing documentation and complete the filing.Make informed decision and knowing the consequences for the customer.Take care of incoming and outgoing shipment (project, machines, spare parts, exhibition and marketing items, claim, warranty, sample, etc.)"
65,System Engineer | Construction Business,"Client business: Our client is Construction business for the customer which located at BTS Radchadamri is currently looking for a qualified candidate as a below information.Nationality: Japanese CompanyLocation: BTS RadchadamriWorking time: Mon-Fri 08.00-17.00Salary Range: Up to 40,000 | Bonus | Annual leave | Group InsuranceReport to: Marketing Manager (Japanese)Job descriptions:Be able to design and screen of system and structure drawings for accuracy before work implement or concerning all aspects of the schedule and construction sequence.Design and control of the project of electrical system, mechanical system, plumbing system for industrial plant and building, Warehouse and Cold storage and SupermarketTo liaise with other companies involved in the project for estimation process and do the quotation purpose to supervisorUnderstand and can clarify the drawing also ability to c0- ordinate, control and monitor all sub-contractor's activities on siteOther jobs as assigned"
67,"Accountant (All: AR, AP, GL BS) | Sutisarn RD. | Up to 45K | Fluent in English","Client business: Our client is a leading producer and supplier of non-woven and knitted fusible interlinings in the USA for is currently looking for a qualified candidate as a below information.Nationality: American CompanyLocation: Sutisarn RD.Salary Range: Up to 45,000 | Bonus | Annual leave | Social SecurityReport to: TBCJob descriptions:Perform full Set of Accounting; (AR, AP, GL, BS)Responsible for daily accounting functions including accounting data inputs, bank reconciliation, billing, etc.Manage Inventory Record.Ensure in compliance with local tax requirement."
68,"Assistant Estimation Manager, Cost Engineer (Prefer: Civil Engineer)","To ensure and manage the estimation and QS process to be completed in time following the timeframe given by the clients.To prepare Quantity Take-offs (QTO) and accurate pricing by co-working with Procurement team based on tender, scope of projects or drawing.(*QTO=details of materials, labors or other resources required to complete a construction project)  To prepare rough/ temporary pricing plan referring to the projects from the past. To communicate with the sub-cons or suppliers to coordinate and clarify the necessary information for estimation. Guide and supervise the subordinate to ensure he/she is also executing the tasks aligned with the timeframe. Handle other tasks as required  **Note: Main projects are : Factories at Industrial Areas, and hotels (high-rise building in city area)**"
69,Front Desk/Receptionist - KG,"1.Responsible for calls. Transferred calls to the concerned team 2.Receiving visitors, bring to meeting room etc.3.Responsible messenger, initiate works to messenger4.Responsible for incoming and outgoing mails5.Occasionally assist with contacting the building for reparations 6.Responsible for all assignments assigned by head"
70,Sales Admin. Staff -KG,Job detail-To survey competitor’s sales promotion in Bangkok and upcountry by using phone-Responsible for Administrative Job and team activities
71,Sales Engineer (BTS Asoke),"Client business: Our client is a Welding Materials Business which located at BTS Asoke / MRT Sukhumvit station is currently looking for a qualified candidate as a below information.Nationality: JapaneseLocation: BTS Asoke / MRT Sukhumvit station Salary range: THB30,000 - 40,000 (excluding other allowances)Job descriptions:Establishing new, and maintain existing, relations with clientPersuade clients that a product or service will best satisfy their needsOffering after - sales support servicesPreparing report to sales leaderPreparing quotation, PO and invoiceBusiness trip to upcountry."
72,Sales Executive and Asst. Sales Manager | (Freight Forwarder: Sea & Air) | HUNTING SALES | 3 Vacancy,"Client business: Our client is Freight Forwarder company for the customer which located at BTS Ploenchit is currently looking for a qualified candidate as a below information.Nationality: Korean companyLocation: Lumpini, Pathumwan, BangkokWorking time: Mon-FriSalary Range: Up to 30,000 – 55,000 (Depend on experience) | Telephone Allowance | Oil & Gas Allowance. Job descriptions:Mainly search for New Clients - HUNTING SALES 100%Do business development and sales activities; visiting clients by own driving.Make quotations to potential clients, close sales and follow up with operations on delivery of services.Develop new sales and meet company assigned sales targets & objectives.Preparing sales reports and analysis.Responsible for coordinating and handling operation."
73,Software Tester (contract 6-12 months) - KG,"Work experience 1-3 years of Software Tester or Software Quality Assurance (QA) to understand the nature and process of software development skills for inspection and testing software that can read and write test cases (test. case) have a high tolerance. Circumspect Able to work under pressure Good command of English is required for testing various new functions. The programmers who developed the system requirements. And analyzed to prepare test cases. Including test execution process control, quality analysis and evaluation software programming. Ensure the integrity of the work function. The results of the quality inspection system to improve the programmer to prepare a report on the quality of its information technology system. To apply for a new round of system testing with good interpersonal skills, team work, excellent work. And coordinate with other teams involved. Duties as assigned"
74,Collection Officer | Bangna Branch | Mon-Fri,"Client business: Our client is Finance Leases and Hire Purchase Business for the customer which located at Ariya Building is currently looking for a qualified candidate as a below information.Nationality: Japanese CompanyLocation: Bangplee, SamutprakarnWorking time: 08.30 - 17.30 (Mon-Fri) Report to: Collection Assistant Manager Salary Range: 20,000 - 30,000 THB/Month (Depend on experience)Benefits:  Variable bonus, Group Insurance, Medical Insurance, Transportation Allowance. Provident Fund, Company TripJob descriptions:To make phone calls to over-due customers to prompt the payment.To visit overdue customers for collection of overdue receivables (depending on the over-due situation)To liaise and coordinate with business collaborators for the next step in case the payment was not made.To prepare the report to record the situation of the over-due customers.To support other jobs as shall be assigned."
75,Customer Service/ call center,"1) To provide personalized service and attend to phone-in customers’ enquiries, feedback and simple mobile technical questions.2) Communicate courteously with customers through telephone and email. 3) Keep accurate records of discussions or correspondence with customers during any interaction and update the information through the company’s system at all time.4) Formulate resolution and response in a timely & accurate manner and provide excellent customer service.5) Maintains and improves quality results by adhering to standards and guidelines; proactively recommending improved procedures.6) Communicate & coordinate with relevant party/department when necessary with professional language.7) Accountable for appropriate knowledge and use of departmental and company systems / databases.8) Achieve and Exceed specified performance goals (KPI’s)"
76,Interior designer. (Junior - Senior),"1. Assist in computer drafting & drawing works, drawing review2. Produce, detailed shop drawings for furniture products such as doors, kitchen cabinets and wardrobes3. Assist in contract costing & involve in the material procurement4. Liaise with suppliers to compare the price and to work out the price of the products for management’s approval5. Prepare schedules for all contracts for work schedule, materials, orders6. Prepare production processing of the raw materials to ensure that the schedules are being follow."
77,Office Administrator TOEIC 500 up (Contract 1 year) - KG,"Office/Facility AdministrationMaintain and upkeep office equipment and furniture. Organize repairs and upgrades. Follow through on maintenance agreements and contractsMaintain a safe and secure working environment. Coordinate the emergency response team including organize safety procedures (emergency plan) and evacuation exercisesCoordinate facility issues with landlord and other relevant parties and solve themOrganize appointments and meetings including meeting rooms, equipment, meals or other events requiredManage office admin and facilities including office supplies, reception services and catering servicesProvide support to audit processes and quality management system as requiredAccounting/ Human Resources:Provide support on payment activities including invoice, employee claims etc to ensure they are in compliance with financial policies & proceduresAssist in financial closing processRegularly tabulate data and compile necessary reportsProvide HR administrative support. Support on boarding of new employeesSales and Marketing AdministrationSupport sales team including the TFM approachSupport the marketing/clinical activities and events"
78,Sales Consultant,Responsibilities:- Greeting customers upon their arrival.- Identifying customers' need and reference them products and services.- Informing customers on prices and special offers.- Serving new clients and remain existing clients for the return of purchase.- Performing sales skill to persuade clients to use Marie France products and services.- Handling customer’s requests and inquiries.- Presenting the products and service information to customers.
79,Sales Executive | Huahin | English skill,"Client business: Our client is Consumables, Safety Products and Fastenal Products for the customer which located at Central of Huahin is currently looking for a qualified candidate as a below information.Nationality: American companyLocation: HuahinWorking time: Mon-FriSalary Range: Up to 25,000 – 35,000 (Depend on experience) | Mobile Allowance | Mileage Claims Job descriptions:Processing orders and ensuring prompt shipments to customers.Liaising with supply chain on day to day orders.Preparing packing list for warehouse to pack.Create delivery orders and invoices for delivery to customers.Update customers on pending delivery dates.Other ad-hoc duties such as billing invoices and filing.Will work with supply chain to be in line on the right vendor to source from.Assist supply chain & sales to execute awarded project by providing quote info & shipment arrival to ensure the transition goes smoothly.Scope of Work:40% deal with existing customers (inside sales)10% expand new market (BD corporate sales)50% processing of orders and internal document (sales coordinator)"
